S/2Ro,B,aL
2,0,0.600002159
2,3.881124089,0.595833558
2,7.799742269,0.590634032
2,10.81383979,0.585444867
2,13.37625979,0.58335366
2,16.54072221,0.576100917
2,20.15725069,0.567812068
2,23.4728551,0.562619449
2,26.78768242,0.553303128
2,29.80158567,0.547083037
2,33.26638936,0.533641287
2,35.82783801,0.526395451
2,38.5394573,0.516055112
2,40.94995823,0.507780078
2,43.35968209,0.495381341
2,46.07071856,0.481948225
2,48.7819493,0.469546034
2,52.39770071,0.457133483
2,54.95817801,0.444733019
2,58.27261679,0.433354847
2,61.28574296,0.423011054
2,64.75112946,0.41266208
2,67.91520335,0.403347486
2,71.53173183,0.395058637
2,74.54582935,0.389869472
2,77.25822571,0.383652835
2,80.57344158,0.376398366
2,83.13586158,0.374307158
2,85.84903502,0.372214224
2,87.95919469,0.370128197
2,90,0.368043896
,,
,,
S/2Ro,B,aL
5,0,0.30206293
5,3.825951437,0.303050685
5,7.745152426,0.300943936
5,10.75944422,0.296785697
5,14.07543716,0.293654929
5,16.93878124,0.288467491
5,20.25457991,0.284305798
5,23.41981942,0.281176758
5,26.73503528,0.273922288
5,29.5987679,0.270796701
5,32.31077572,0.262518213
5,36.07825192,0.255258562
5,38.63989484,0.249043652
5,40.44815908,0.244899228
5,43.00960773,0.237653392
5,45.87256326,0.230404103
5,49.63945665,0.220051676
5,53.10542596,0.212795479
5,56.57081246,0.202446506
5,59.58490998,0.197257341
5,60.94052535,0.191056245
5,63.80406369,0.186899733
5,66.36648369,0.184808525
5,69.07888006,0.178591889
5,71.33979317,0.176504135
5,73.90182463,0.172351076
5,76.46385608,0.168198017
5,78.87591118,0.168170388
5,80.38325134,0.167122194
5,83.09623052,0.163998334
5,85.96054594,0.163965524
5,87.76958726,0.163944801
5,90,0.161855321
